영업 내용,영업일,신규or기존,지역그룹,거래처,거래처 담당자,담당자,상태,영업 제품,업무 내용,Action_Type,검토상태
청주 방서미즈닥터 신규 아이템 소개,2025/12/23,신규 병원,세종충북,청주 방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd814dbb17d4c90b92d185?pvs=21),산부인과 원장,이재덕,영업완료,스카노스겔 (https://app.notion.com/p/e8b49e4deb87401e8594f51493a080a6?pvs=21),"소노잴 샘플제공. 사용해보겠다고함. 
[제공 샘플] 소노젤",,완료
제천 한기정obgy 신규 아이템 소개,2025/12/24,신규 병원,세종충북,제천 한기정산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81dfb5bee4665f9333a4?pvs=21),산부인과 원장,이재덕,영업완료,,"베리큐어 디테일, 에이드필름 관심있어하심. 
[제공 샘플] 베리큐어샘플",,완료
제전 연세미즈obgy 정보 수집,2025/12/24,신규 병원,세종충북,제전 연세미즈산부인과 (https://app.notion.com/p/3b5fd9fcb8cd810787d3f6a43abe001b?pvs=21),산부인과 원장,이재덕,영업완료,,면담기다렸으나 환자가 지속적이어서 케잌만 전달드리고옴.,,완료
제천 서울병원 정보 수집,2025/12/24,신규 병원,세종충북,제천 서울병원 (https://app.notion.com/p/3b5fd9fcb8cd81c2b3c4d97b0a2be4b0?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,과별방문해도 되다고함. 추후 하이겐트(Hygent)로 디테일 들어갈예정.,,완료
제천 미래obgy 정보 수집,2025/12/24,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),산부인과 원장,이재덕,영업완료,,면담기다렸으나 환자지속적으로 내원하여 사모님만 뵙고 나옴.,,완료
충주 건대병원 정보 수집,2025/12/24,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,구매과장님 별말없으시다고 하심. 드레싱킷으로 디테일 예정.,,완료
진천 미래마취통증 정보 수집,2025/12/24,신규 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,원장님이 환자도 많치 안은데 서두른다고 하심. 기회되면 사용해보시겠다고함. 지속방문 예정.,,완료
청주 다나여성병원 정보 수집,2025/12/24,신규 병원,세종충북,청주 다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd818f8320ecaeaf058d64?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사 드림. 트로카는 아직 사용전임.,,완료
청주 모태안obgy 납품,2025/12/29,기존 병원,세종충북,모태안여성병원 (https://app.notion.com/p/3b2fd9fcb8cd8155911ec5bd84013f09?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,납품,,완료
청주 미즈맘obgy 정보 수집,2025/12/29,기존 병원,서산당진,미즈맘산부인과의원 (https://app.notion.com/p/3b2fd9fcb8cd81eda344f77d3111bddb?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,듀얼튤립 디테일 설명. 원장님께 여쭤본다고 함.,,완료
청주 한국뱡원 정보 수집,2025/12/29,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),일반외과 과장,이재덕,영업완료,,니들홀더 수거하려했으나 못함. 내일 수거할수 있을듯함. 수처(Suture)하는 경우가 거의없다고 함. 타 과 과장님 사용여부 알려주겠다고함.,,완료
청주 마디사랑병원 정보 수집,2025/12/29,신규 병원,세종충북,청주 마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd810f949dc3ed4d33b6b5?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,이런저런 이야기하다가 테이프는 도와줄수 있을듯하다고함. 에드고,,완료
청주 뿌리병원 정보 수집,2025/12/29,신규 병원,세종충북,청주 뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81b185fac4f409ea671f?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,하이겐트(Hygent)는 안될것 같다고함. 타제품으로 디테일해볼예정.,,완료
청주 성모병원 정보 수집,2025/12/29,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,드레싱킷 좋은제품으로 소개드리겠다고 했음. 별 반응은 없음.,,완료
청주 다나여성병원 정보 수집,2025/12/29,신규 병원,세종충북,청주 다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd818f8320ecaeaf058d64?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,트로카 관련 상담함.,,완료
청주 마디사랑병원 정보 수집,2025/12/30,신규 병원,세종충북,청주 마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd810f949dc3ed4d33b6b5?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,에드고 실리콘 밴드 디테일 설명.,,완료
청주 카톨릭병원 정보 수집,2025/12/30,신규 병원,세종충북,청주 카톨릭병원 (https://app.notion.com/p/3b5fd9fcb8cd81338e7ccb0b0f9a11e2?pvs=21),정형외과 원장,이재덕,영업완료,,면담 안한다고하심. 사무장 보려했으나 다음에 오라고함.,,완료
청주 하나병원 정보 수집,2025/12/30,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,드레싱킷 나올예정이라고 말함. 나오면 샘플 주기로함.,,완료
청주 해피맘obgy 정보 수집,2025/12/30,신규 병원,세종충북,청주 해피맘산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81949511cef53cb9b9df?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사차 들름. 자이네콜라(Gynecola) 디테일 설명.,,완료
대전 보훈병원 정보 수집,2025/12/30,신규 병원,대전논산,대전보훈병원 (https://app.notion.com/p/3b5fd9fcb8cd8118b66dc084c526ed37?pvs=21),"관리팀 구매팀공석. 중앙공급실 인사드림., 구매",이재덕,영업완료,,"드레싱킷, 바이크릴 디테일예정.",,완료
보은 한양병원 정보 수집,2025/12/30,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,인사 드림. 많이 도와달라고 당부함.,,완료
보은 우리os 정보 수집,2025/12/30,신규 병원,세종충북,보은우리정형외과 (https://app.notion.com/p/3b5fd9fcb8cd810d8a4dcd2405eb241f?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,드레싱 킷 사용안하고있음. 비급여제폼 싫어한다고 하심.,,완료
청주 방서미즈닥터 견적 상담,2025/12/30,신규 병원,세종충북,청주 방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd814dbb17d4c90b92d185?pvs=21),산부인과 원장 둘.,이재덕,영업완료,,"오 원장님 베리큐어디테일 설명. 스프레이 샘플전달. 박원장 이지큐본드(EzQbond) 주문함. 
[제공 샘플] 베리큐어 스프레이.",,완료
진천 미래통증 정보 수집,2026/01/05,신규 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),"관리팀 부장, 구매",이재덕,영업완료,,니들 견적받음. 추가 아이템 더 랜딩하겠음.,,완료
진천 바른os 신규 아이템 소개,2026/01/05,신규 병원,세종충북,진천 바른정형외과 (https://app.notion.com/p/3b5fd9fcb8cd8107a7b1d3d3ee1cdb0f?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,하이소브 디테일 설명. 별반응 없음.,,완료
오창 굿모닝uro 정보 수집,2026/01/05,신규 병원,세종충북,오창 굿모닝비뇨의학과 (https://app.notion.com/p/3b5fd9fcb8cd816c8430e760df72be9d?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,"인사 드림, 소공포 디테일 설명.",,완료
청주 서로손병원 정보 수집,2026/01/05,신규 병원,세종충북,청주 서로손병원 (https://app.notion.com/p/3b5fd9fcb8cd816693d6ced582fb2448?pvs=21),Fm 원장,이재덕,영업완료,,병원 소모품 변경해달라고 요청. 아직은 아닌듯함.,,완료
청주 다나여성 정보 수집,2026/01/05,신규 병원,세종충북,청주 다나여성 (https://app.notion.com/p/3b5fd9fcb8cd819d9d3ad149e8bdc51e?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,수술들어가서 못뵘.,,완료
청주 하나병원 정보 수집,2026/01/05,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,하이소브 디테일 설명. 사용중인제품이 있음. 뭔지는 안알려줌.,,완료
청주 한국병원 정보 수집,2026/01/05,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),"신희용과장, 일반외과 윤창균부원장",이재덕,영업완료,,부원장님 인사 드림. 수술포등 디테일 설명. 니들홀더 수거함. 별다른 평가없음. 타 제품 디테일로 변경예정.,,완료
Cj 아산웰통증 정보 수집,2026/01/06,신규 병원,세종충북,청주 아산웰통증 (https://app.notion.com/p/3b5fd9fcb8cd8174a3dded25646ac64b?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,"니들, 공포 디테일 설명. 원장뵈려했으나 시술들어가심 2시간정도 걸린다고함. 다음에 다시트라이하겠음.",,완료
Cj 프라우삼성obgy 정보 수집,2026/01/06,신규 병원,세종충북,청주 프라우삼성산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81e78d1bc1fc77f9b7f1?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사하러감.,,완료
Cj 하임브릿지os 정보 수집,2026/01/06,신규 병원,세종충북,청주 하임브릿지정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81a7a092f92fc847e997?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,원장보려했으나 면담은 안 됨.,,완료
Cj 닥터연여성 정보 수집,2026/01/06,신규 병원,세종충북,청주 닥터연여성 (https://app.notion.com/p/3b5fd9fcb8cd81269537e3cc5a8ac39c?pvs=21),비뇨의학과 팀장,이재덕,영업완료,,이번주 전체 휴무임. 담주 방문하겠음.,,완료
보은 한양병원 샘플 제공,2026/01/06,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"드레싱킷 급여 비급여 디테일, 공포 잘라서 샘플로 줬음. 두툼하고 좋다고함.",,완료
옥천 성모병원 샘플 제공,2026/01/06,기존 병원,세종충북,옥천성모병원 (https://app.notion.com/p/1d6490ab72a64fa7a1e874bed8d3ee80?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,탭실 디테일 설명.,,완료
대전 보훈병원 정보 수집,2026/01/06,신규 병원,대전논산,대전보훈병원 (https://app.notion.com/p/3b5fd9fcb8cd8118b66dc084c526ed37?pvs=21),"관리팀 중앙공급실, 구매",이재덕,영업완료,,"과장님은 못뵙, 입구간호사, 수간호사 통해서 약속잡아야 볼수있을듯함. 치열할듯함.",,완료
제천 미래obgy 정보 수집,2026/01/07,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),산부인과 원장,이재덕,영업완료,,자이내콜라 디테일 설명. 랜딩에 시간이걸릴듯함.,,완료
제천 서울병원 정보 수집,2026/01/07,신규 병원,세종충북,제천 서울병원 (https://app.notion.com/p/3b5fd9fcb8cd81c2b3c4d97b0a2be4b0?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,맘모톰 여부확인함. 안하고있음. 미래원장이 부탁함. 교체 가능하이템 있으면 알아봐달라고 부탁함.,,완료
제천 연세미즈obgy 반품,2026/01/07,신규 병원,세종충북,제천연세미즈산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81319d23cc6f3fa1ae21?pvs=21),산부인과 간호사,이재덕,영업완료,,반품수거. 바이옵시는 타사납품 섞여있었음. 면담은 안 됨.,,완료
제천 조성우im 신규 아이템 소개,2026/01/07,신규 병원,세종충북,제천 조성우내과 (https://app.notion.com/p/3b5fd9fcb8cd816ab076ef85e0ea8931?pvs=21),Im 원장,이재덕,영업완료,,베리큐어 크림 디테일 설명. 사용해보겠다고 하심.,,완료
제천 한기정obgy 신규 아이템 소개,2026/01/07,신규 병원,세종충북,제천 한기정산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81dfb5bee4665f9333a4?pvs=21),산부인과 원장,이재덕,영업완료,,자이네콜라(Gynecola) 디테일 설명. 약간망설임. 베리큐어크림 샘플드림. 발라보겠다고 함.,,완료
충주 건국대병원 정보 수집,2026/01/07,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,새해인사함. 샘플주면 과장한테 주는데 별반응 없음. 과장은 직 면담이 안 됨.,,완료
진천 미래마취통증 정보 수집,2026/01/07,신규 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,견적서 재발행요청. 온라인가격비교시 동가격이면 주문하겠다고함. 공포는 좋다고함.,,완료
Cj 다나여성병원 정보 수집,2026/01/07,신규 병원,세종충북,청주 다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd818f8320ecaeaf058d64?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,트로카 예기하려 했으나 부재중임. 전화하긴 그래서 금요일날 재방문 예정임.,,완료
Cj 새빛병원 정보 수집,2026/01/07,신규 병원,세종충북,청주 새빛병원 (https://app.notion.com/p/3b5fd9fcb8cd81c9a9eccac19e3a6eaa?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,면담안 됨. 간호사 선에서 컷됨.,,완료
충북대 팍스연동,2026/01/08,기존 병원,세종충북,충북대학교병원 (https://app.notion.com/p/ba520b40010143dfae0d3ff058b73012?pvs=21),비뇨의학과 문성민과장,이은필,영업완료,,자산으로 등록되어있지 않아서 팍스불가,,완료
Cj 방서미즈맘 정보 수집,2026/01/08,신규 병원,세종충북,청주 방서미즈맘 (https://app.notion.com/p/3b5fd9fcb8cd81ba94cbd96f77de35fa?pvs=21),"관리팀 간호사, 구매",이재덕,영업완료,,베리큐어 제공. 하이소브 주문예정,,완료
Cj 삼성의원 샘플 제공,2026/01/08,신규 병원,세종충북,청주 삼성의원 (https://app.notion.com/p/3b5fd9fcb8cd8129bba9d352b5336277?pvs=21),Gp 원장,이재덕,영업완료,,시골이라 노인환자 많음. 베리큐어 디테일 설명. 관심있어함.,,완료
Cj 효성병원 정보 수집,2026/01/08,기존 병원,세종충북,청주효성병원 (https://app.notion.com/p/4ed256ac06214acc9c65ebb903123c3c?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,새해인사함. 탭실 디테일 설명. 사용제품 있다고함.,,완료
Cj 탑병원 정보 수집,2026/01/08,신규 병원,세종충북,청주탑병원 (https://app.notion.com/p/3b5fd9fcb8cd81099e2adcbba17ae8c9?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,인사차 방문. 전납사 있으니 방문 안하셔도 된다고함.,,완료
Cj 마디사랑병원 정보 수집,2026/01/08,신규 병원,세종충북,청주 마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd810f949dc3ed4d33b6b5?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,애드고 제품 내일 심사한다고 함. 탑병원 정보물어봄. 타사분들도 같은 이유로 방문 안한다고 함.,,완료
Cj 카톨릭병원 정보 수집,2026/01/08,신규 병원,세종충북,청주 카톨릭병원 (https://app.notion.com/p/3b5fd9fcb8cd81338e7ccb0b0f9a11e2?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,바쁘다고 담에 오시라고함.,,완료
Cj 가경유항gs 정보 수집,2026/01/08,신규 병원,세종충북,청주 가경유항외과 (https://app.notion.com/p/3b5fd9fcb8cd81199de2c5fc92a6f37f?pvs=21),일반외과 원장,이재덕,영업완료,,드레싱킷 디테일 설명. 일회용은 아직 생각없다고함.,,완료
Cj 유로센터uro 정보 수집,2026/01/08,기존 병원,세종충북,유로센터비뇨기과 (https://app.notion.com/p/66c5580992924199b3c8abdcb3021407?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,공포 디테일 설명. 사용하는 업체있다고함. 두톰해서 좋다고함. 더 방문해 보겠음.,,완료
보은 한양병원 정보 수집,2026/01/09,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,드레싱킷 말씀드렸다고함. 그 외 품목 랜딩노력 하겠음.,,완료
보은 복ns 정보 수집,2026/01/11,신규 병원,세종충북,보은 복신경외과 (https://app.notion.com/p/3b5fd9fcb8cd814fb5becadeb7dfbd29?pvs=21),Ns 원장,이재덕,영업완료,,면담 안 됨.,,완료
보은 우리os 정보 수집,2026/01/09,신규 병원,세종충북,보은우리정형외과 (https://app.notion.com/p/3b5fd9fcb8cd810d8a4dcd2405eb241f?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,드레싱킷 설명드림. 급여제품 디테일 설명.,,완료
Cj 방서미즈닥터 샘플 제공,2026/01/09,신규 병원,세종충북,청주 방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd814dbb17d4c90b92d185?pvs=21),산부인과 원장,이재덕,영업완료,,펜코 소노겔 디테일 설명. 사욯알것 같으나 많치는 안음. 멸균제품 찾고있었다고 함.,,완료
Cj 한국병원 정보 수집,2026/01/09,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),일반외과 진료원장님,이재덕,영업완료,,트로카 디테일 설명. 세종꺼 사용하신다고 다른거 있음 가져와보라고 하심.,,완료
Cj 다나여성병원 샘플 제공,2026/01/09,신규 병원,세종충북,청주 다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd818f8320ecaeaf058d64?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,트로카 샘플제공.,,완료
Cj 마디사랑병원 견적 상담,2026/01/09,신규 병원,세종충북,청주 마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd810f949dc3ed4d33b6b5?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,견적서 제출.,,완료
엠에스 베리큐어,2026/01/12,기존 병원,세종충북,엠에스여성의원 (https://app.notion.com/p/3b2fd9fcb8cd81718778d8073602d2c4?pvs=21),산부인과 민승기원장,이은필,영업완료,베리큐어 로션 (https://app.notion.com/p/3b2fd9fcb8cd8179acade5859e6bd7b0?pvs=21),"베리큐어브로셔 및 설명
[비고] 있으면 좋다고하시는데
1층에 제약사에서 비슷한거 하고있음 행정부장을 만나야함
[제공 샘플] 베리큐어 로션 크림",,완료
Cj 마디사랑병원 납품,2026/01/12,신규 병원,세종충북,청주 마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd810f949dc3ed4d33b6b5?pvs=21),"관리팀 구매과, 구매, 행정이사",이재덕,영업완료,,에드고테이프 납품. 애드고 픽스테이프 납품예정.,,완료
Cj 뿌리병원 신규 아이템 소개,2026/01/12,신규 병원,세종충북,청주 뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81b185fac4f409ea671f?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,탭실 디테일 설명. 사용중인제품 있으며 변경이 쉽지 안다고함.,,완료
Cj 하나병원 신규 아이템 소개,2026/01/12,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"탭실, 실리콘테이프 디테일 설명.",,완료
Cj 씨엔씨재활 정보 수집,2026/01/12,신규 병원,세종충북,청주 씨엔씨재활 (https://app.notion.com/p/3b5fd9fcb8cd8150944df3dc6d275bfa?pvs=21),Fm 원장,이재덕,영업완료,,인사드리러감.,,완료
Cj 미앤유gs 정보 수집,2026/01/12,신규 병원,세종충북,청주 미앤유외과 (https://app.notion.com/p/3b5fd9fcb8cd8177a266c075c5dea93e?pvs=21),일반외과 원장,이재덕,영업완료,,면담안 됨.,,완료
Cj 미즈맘obgy 정보 수집,2026/01/12,기존 병원,서산당진,미즈맘산부인과의원 (https://app.notion.com/p/3b2fd9fcb8cd81eda344f77d3111bddb?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,펜코제품 디테일 설명. 변경하기 어렵다고함.,,완료
Cj 프라우삼성obgy 정보 수집,2026/01/13,신규 병원,세종충북,청주 프라우삼성산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81e78d1bc1fc77f9b7f1?pvs=21),산부인과 사무장,이재덕,영업완료,,탭실 디테일 설명.,,완료
Cj 하임브릿지os 정보 수집,2026/01/13,신규 병원,세종충북,청주 하임브릿지정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81a7a092f92fc847e997?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,"원장 면담은 안 됨, 공포 디테일 설명함.",,완료
Cj 닥터연여성obgy 정보 수집,2026/01/13,신규 병원,세종충북,청주 닥터연여성산부인과 (https://app.notion.com/p/3b5fd9fcb8cd817ca519ec5731218452?pvs=21),산부인과 원장,이재덕,영업완료,,인사 드림. 원내 소모폼곤련 디테일 설명함. 듀얼튤립외 디테일 설명.,,완료
Cj 방서미즈닥터 샘플 제공,2026/01/13,신규 병원,세종충북,청주 방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd814dbb17d4c90b92d185?pvs=21),산부인과 원장,이재덕,영업완료,,"베리큐어 크림 제공, 사용해보니 좋다고하심, 스프레이 사용해보기로 함.",,완료
Cj 한국병원 정보 수집,2026/01/13,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),일반외과 과장,이재덕,영업완료,,트로카 디테일 설명. 샘플 드리려했으나 다른데 사용하라고 하심. 세종하고 거래가 탄탄해보임.,,완료
Cj 마이크로병원 정보 수집,2026/01/13,신규 병원,세종충북,청주 마이크로병원 (https://app.notion.com/p/3b5fd9fcb8cd815f8d4ee81fd80de469?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,하이겐트(Hygent) 디테일해봄. 사용계획 없다고함.,,완료
하안유 신규 아이템 소개,2026/01/14,기존 병원,세종충북,하안유산부인과 (https://app.notion.com/p/3b2fd9fcb8cd8100aa5fc71251e36c0b?pvs=21),산부인과 안수영실장,이은필,영업완료,베리큐어 스프레이 100ml (https://app.notion.com/p/100ml-3b2fd9fcb8cd8122b51be1538bdb80c7?pvs=21),"베리큐어신규제품
[비고] 브로셔및심플전달 관심있음
[다음 방문 예정일] 2026/01/16
[제공 샘플] 베리큐어",,완료
Cj 마디사랑병원 정보 수집,2026/01/14,신규 병원,세종충북,청주 마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd810f949dc3ed4d33b6b5?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"하이소브 디테일, 아직 테스트중임.",,완료
Cj 뿌리병원 정보 수집,2026/01/14,신규 병원,세종충북,청주 뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81b185fac4f409ea671f?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"하이겐트(Hygent) 디테일, 과장님들 직접면담 병원ㅅ상이 못하게함. 병원장라인을 타야되는데 아직은 어려움.",,완료
Cj 서로손병원 샘플 제공,2026/01/14,신규 병원,세종충북,청주 서로손병원 (https://app.notion.com/p/3b5fd9fcb8cd816693d6ced582fb2448?pvs=21),Fm 원장,이재덕,영업완료,,"베리큐어 디테일, 환자 설며부담스럽다함. 코디에게 물어보겠다고 하심.",,완료
Cj 다나여성병원 샘플 제공,2026/01/14,신규 병원,세종충북,청주 다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd818f8320ecaeaf058d64?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,"엔도백 디테일, 100미리 사용한다함. 샘플200미리, 트로카 아직 사용전.",,완료
Cj 닥터연여성 정보 수집,2026/01/14,신규 병원,세종충북,청주 닥터연여성 (https://app.notion.com/p/3b5fd9fcb8cd81269537e3cc5a8ac39c?pvs=21),산부인과 원장,이재덕,영업완료,,오늘 면담은안 됨. 팀장에게 베라큐어 샘플제공함.,,완료
보은 한양병원 정보 수집,2026/01/14,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"Os 과장님 오심, 면담은 못한다고 함. 공포외 디테일 설명.",,완료
담소유 신규 아이템 소개,2026/01/15,기존 병원,서울경기,담소유병원 (https://app.notion.com/p/3b2fd9fcb8cd8189b20fed5f65b5992d?pvs=21),일반외과 간호부장,이은필,영업완료,,"베리큐어브로셔
[비고] 베리큐어제품전체 견적서요청
[다음 방문 예정일] 2026/01/20",,완료
Cj 성모병원 납품,2026/01/15,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,납품,,완료
Cj 고은obgy 정보 수집,2026/01/15,신규 병원,세종충북,청주 고은산부인과 (https://app.notion.com/p/3b5fd9fcb8cd8199a30ad497870a7183?pvs=21),산부인과 원장,이재덕,영업완료,,인사 드림,,완료
Cj 신세계os 정보 수집,2026/01/15,신규 병원,세종충북,청주 신세계정형외과 (https://app.notion.com/p/3b5fd9fcb8cd813c82e7fa20fadff02c?pvs=21),정형외과 원장,이재덕,영업완료,,인사 드림,,완료
Cj 방서미즈닥터 샘플 제공,2026/01/15,신규 병원,세종충북,청주 방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd814dbb17d4c90b92d185?pvs=21),산부인과 원장,이재덕,영업완료,,베리큐어크림 선물로드림. 스프레이 빨리받았으면하심.,,완료
세종제일 신규 아이템 소개,2026/01/16,신규 병원,대전논산,세종제일 (https://app.notion.com/p/3b5fd9fcb8cd81eebdabc256923aada5?pvs=21),산부인과 수간호사,이은필,영업완료,베리큐어 스프레이 100ml (https://app.notion.com/p/100ml-3b2fd9fcb8cd8122b51be1538bdb80c7?pvs=21),"황도연대표와 미팅응해야함
[비고] 다음주에미팅잡을예정
[다음 방문 예정일] 2026/01/21",,완료
메종플로라산후조리원 좌욕기,2026/01/16,신규 병원,서울경기,메종플로라산후조리원 (https://app.notion.com/p/3b5fd9fcb8cd81978955fd805cfadc76?pvs=21),산후조리원 실장,이은필,영업완료,,"조리원좌욕기영업
[비고] 현재좌욕기없음 개별좌욕실도 없음
[다음 방문 예정일] 2026/01/21",,완료
모태안 신규 아이템 소개,2026/01/16,기존 병원,세종충북,모태안여성병원 (https://app.notion.com/p/3b2fd9fcb8cd8155911ec5bd84013f09?pvs=21),산부인과 외래,이은필,영업완료,,"베리큐어
[비고] 원장님은 만나지못하고(박철종) 외래전달 다음주예약하고 만날예정
[다음 방문 예정일] 2026/01/21",,완료
"청담,유엔비,쉬즈메디,오월납품 납품",2026/01/19,신규 병원,서울경기,"청담,유엔비,쉬즈메디,오월납품 (https://app.notion.com/p/3b5fd9fcb8cd8113ad60fedcc57f1290?pvs=21)",산부인과,이은필,영업완료,,,,완료
하안유 내일방문예정,2026/01/20,기존 병원,세종충북,하안유산부인과 (https://app.notion.com/p/3b2fd9fcb8cd8100aa5fc71251e36c0b?pvs=21),산부인과 안수영실장,이은필,영업완료,,자궁거상기 및 가영제품 훅으로 준비,,완료
